date,n_stocks,delta_days,W_hl60,W_hl120,eff_samples_hl60
2026-01-05,499,71,0.5,0.6635758711692841,249.5
2026-01-06,499,70,0.5,0.6674199270850172,249.5
2026-01-07,499,69,0.5,0.6712862513901318,249.5
2026-01-08,499,68,0.5,0.675174973084095,249.5
2026-01-09,499,67,0.5,0.6790862219136607,249.5
2026-01-12,498,66,0.5,0.6830201283771978,249.0
2026-01-13,497,65,0.5,0.6869768237290446,248.5
2026-01-14,497,64,0.5,0.690956439983888,248.5
2026-01-15,496,63,0.5,0.6949591099211685,248.0
2026-01-16,495,62,0.5,0.6989849670895097,247.5
2026-01-19,495,61,0.5,0.7030341458111747,247.5
2026-01-20,495,60,0.5,0.7071067811865476,247.5
2026-01-21,496,59,0.5058097201509613,0.7112030090986408,250.8816211948768
2026-01-22,496,58,0.5116869459983874,0.7153229662176291,253.79672521520013
2026-01-23,497,57,0.5176324619206888,0.71946679000541,257.2633335745823
2026-01-26,498,56,0.5236470614103134,0.7236346187201891,260.7762365823361
2026-01-27,498,55,0.5297315471796477,0.7278265914210937,263.8063104954645
2026-01-28,498,54,0.5358867312681466,0.7320428479728127,266.871592171537
2026-01-29,499,53,0.5421134351507092,0.7362835290502628,270.5146041402039
2026-01-30,499,52,0.5484124898473131,0.7405487761432822,273.65783243380923
2026-02-02,499,51,0.5547847360339225,0.7448387315613512,276.83758328092733
2026-02-03,499,50,0.5612310241546865,0.7491535384383408,280.05428105318856
2026-02-04,499,49,0.5677522145354387,0.7534933407372879,283.3083550531839
2026-02-05,499,48,0.5743491774985175,0.7578582832551991,286.60023957176026
2026-02-06,499,47,0.5810227934789198,0.762248511627881,289.930373945981
2026-02-09,499,46,0.5877739531418044,0.7666641723348002,293.2992026177604
2026-02-10,499,45,0.5946035575013605,0.7711054127039705,296.7071751931789
2026-02-11,499,44,0.6015125180410583,0.7755723809168673,300.1547465024881
2026-02-12,499,43,0.6085017568352955,0.7800652260133735,303.64237666081243
2026-02-13,499,42,0.6155722066724582,0.7845840978967508,307.1705311295566
2026-02-24,498,41,0.6227248111794115,0.7891291473386416,310.11695596734694
2026-02-25,498,40,0.6299605249474366,0.7937005259840997,313.7203414238234
2026-02-26,498,39,0.6372803136596311,0.79829838635665,317.3655962024963
2026-02-27,498,38,0.6446851542197896,0.8029228818633765,321.0532068014552
2026-03-02,497,37,0.6521760348827822,0.807574166800042,324.13148933674273
2026-03-03,497,36,0.6597539553864471,0.8122523963562355,327.8977158270642
2026-03-04,497,35,0.6674199270850172,0.8169577266205499,331.7077037612535
2026-03-05,497,34,0.675174973084095,0.8216903145857902,335.56196162279525
2026-03-06,497,33,0.6830201283771978,0.8264503181542118,339.46100380346735
2026-03-09,498,32,0.690956439983888,0.8312378961427878,344.0963071119762
2026-03-10,498,31,0.6989849670895097,0.8360532082885094,348.09451361057586
2026-03-11,498,30,0.7071067811865476,0.8408964152537145,352.13917703090067
2026-03-12,498,29,0.7153229662176291,0.8457676786314485,356.23083717637934
2026-03-13,498,28,0.7236346187201891,0.8506671609508557,360.3700401226542
2026-03-16,499,27,0.7320428479728127,0.8555950256826022,365.28938113843355
2026-03-17,498,26,0.7405487761432822,0.86055143724433,368.7932905193545
2026-03-18,498,25,0.7491535384383408,0.8655365610061431,373.0784621422937
2026-03-19,498,24,0.7578582832551991,0.8705505632961241,377.41342506108913
2026-03-20,498,23,0.7666641723348002,0.8755936114058852,381.7987578227305
2026-03-23,499,22,0.7755723809168673,0.8806658735961485,387.01061807751677
2026-03-24,499,21,0.7845840978967508,0.8857675191023606,391.50746485047864
2026-03-25,499,20,0.7937005259840997,0.8908987181403393,396.0565624660657
2026-03-26,499,19,0.8029228818633765,0.8960596419119524,400.65851804982486
2026-03-27,498,18,0.8122523963562355,0.9012504626108302,404.50169338540525
2026-03-30,498,17,0.8216903145857902,0.9064713534281105,409.20177666372354
2026-03-31,498,16,0.8312378961427878,0.9117224885582168,413.9564722791083
2026-04-01,498,15,0.8408964152537145,0.9170040432046712,418.7664147963498
2026-04-02,498,14,0.8506671609508557,0.9223161935859392,423.6322461535261
2026-04-03,498,13,0.86055143724433,0.9276591169413094,428.55461574767634
2026-04-07,498,12,0.8705505632961241,0.9330329915368074,433.5341805214698
2026-04-08,498,11,0.8806658735961485,0.9384379966711431,438.57160505088194
2026-04-09,498,10,0.8908987181403393,0.9438743126816935,443.66756163388897
2026-04-10,498,9,0.9012504626108302,0.9493421209505192,448.82273038019343
2026-04-13,499,8,0.9117224885582168,0.9548416039104165,454.9495217905502
2026-04-14,499,7,0.9223161935859392,0.9603729450510042,460.23578059938365
2026-04-15,499,6,0.9330329915368074,0.9659363289248456,465.5834627768669
2026-04-16,499,5,0.9438743126816935,0.9715319411536059,470.9932820281651
2026-04-17,499,4,0.9548416039104165,0.9771599684342459,476.46596035129784
2026-04-20,499,3,0.9659363289248456,0.9828205985452511,482.00222813349797
2026-04-21,499,2,0.9771599684342459,0.9885140203528962,487.6028242486887
2026-04-22,499,1,0.9885140203528962,0.9942404238175473,493.2684961560952
2026-04-23,499,0,1.0,1.0,499.0
