feature,imp_3d,imp_5d,imp_avg
close_over_ma60,0.06619843605207099,0.07418500591575372,0.07019172098391235
amplitude_ma_20d_rank,0.06318646560151736,0.06980793372889035,0.06649719966520386
rsi_14,0.06366326430814302,0.06641188726386718,0.06503757578600511
close_over_ma20,0.07110011882895172,0.05872143606778117,0.06491077744836644
turnover_ma_20d,0.06512478295241299,0.0643598000286391,0.06474229149052604
ret_60d,0.06268928085046638,0.06634608791105229,0.06451768438075933
ret_20d,0.06134308241094434,0.06631224857129918,0.06382766549112176
volume_z_20d,0.066423672501355,0.059096006504120495,0.06275983950273775
vol_20d_rank,0.06163873873834338,0.06277098974144316,0.06220486423989327
amplitude_ma_20d,0.05977063204708432,0.06452213833091221,0.06214638518899826
ret_20d_rank,0.06073138371172094,0.06330576704856418,0.06201857538014256
vol_20d,0.06021468551038649,0.06251159682080262,0.061363141165594555
ret_5d,0.061097740576169526,0.059352408545087616,0.060225074560628575
ret_1d,0.06536955326353934,0.05480782417789541,0.060088688720717376
ret_5d_rank,0.05846821640134685,0.05430175816970815,0.0563849872855275
ret_10d,0.05297994624554736,0.05318711117418315,0.053083528709865255
