config,mean%,std%,sharpe
3+5 equal,0.7950657184084565,1.4762929293921734,0.5385555282282662
3+5+10 5d-heavy,0.7664954164979181,1.523551687406665,0.5030977438006183
3+10 equal,0.7500513162001892,1.4995127385258098,0.5001966951861804
3+5+10 equal,0.7458900235296073,1.5115158719308737,0.4934715125265447
3+5+10 long-bias,0.7164647846413806,1.5354470334716515,0.46661641139222565
3+5+7+10 equal,0.7046033245069141,1.5469425158859766,0.4554812588516699
3d only,0.9318682115894755,2.130864689647351,0.4373192798758591
5+10 equal,0.6566788279538086,1.517522039989228,0.43273099872636445
5+7 equal,0.575290274298673,1.410712817986856,0.4078011250508345
5d only,0.6760288081517222,1.9535280210363732,0.34605534237132657
10d only,0.48025605790978054,2.0863201377993277,0.23019288804658697
7d only,0.38246894592211617,2.1728732281543164,0.17601990809514148
