exp_id,exp_name,timestamp,model,as_of,train_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,features,top_k,val_rank_ic,val_ic_std,n_folds,bt_mean_return,bt_std_return,bt_sharpe,out_file,notes
20260430_221322,exp_002_lightgbm,2026-04-30T22:13:22,lightgbm,2026-04-24,2026-03-26,93,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,-0.001979,0.106989,5,0.01338,0.049712,0.2692,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_002_lightgbm.csv,
20260430_221408,exp_001_xgboost_baseline,2026-04-30T22:14:08,xgboost,2026-04-24,2026-03-26,44,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.002138,0.117242,5,0.003979,0.05609,0.0709,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_001_xgboost_baseline.csv,baseline xgboost for comparison
20260502_013839,exp_002_lightgbm,2026-05-02T01:38:39,lightgbm,2026-04-24,2026-03-26,28,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,-0.001979,0.106989,5,0.003392,0.052986,0.064,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_002_lightgbm.csv,refactor: models package
20260502_015705,exp_003_lgbm_rank_target,2026-05-02T01:57:05,lightgbm,2026-04-24,2026-03-26,50,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.031517,0.078305,5,0.004524,0.060505,0.0748,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_003_lgbm_rank_target.csv,target=cross-sectional rank of target_5d
20260502_022129,exp_004_lgbm_rank_target_3d_top30,2026-05-02T02:21:29,lightgbm,2026-04-24,2026-04-01,29,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",30,0.043816,0.05902,5,0.010014,0.037018,0.2705,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_004_lgbm_rank_target_3d_top30.csv,"horizon=3d, top_k=30, rank target"
20260502_134610,exp_005_lgbm_rank_target_3d_top30_10folds,2026-05-02T13:46:10,lightgbm,2026-04-24,2026-04-01,24,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",30,0.03138,0.068982,10,0.010899,0.020162,0.5406,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_005_lgbm_rank_target_3d_top30_10folds.csv,
20260502_163632,exp_005_lgbm_rank_target_3d_top30_10folds,2026-05-02T16:36:32,lightgbm,2026-04-24,2026-04-01,24,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",30,0.03138,0.068982,0.043892,0.008317,0.054333,10,0.010899,0.020162,0.5406,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_005_lgbm_rank_target_3d_top30_10folds.csv,"added top20_ic, top50_ic, hit_rate metrics"
20260502_164506,exp_006_xgboost_3d_top50,2026-05-02T16:45:06,xgboost,2026-04-24,2026-04-01,25,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,-0.011934,0.080738,0.017676,0.007485,0.255,10,0.015976,0.029878,0.5347,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_006_xgboost_3d_top50.csv,"XGBoost baseline, top_k=50, actual_k=60, 10folds, bt 2025-10~2026-04"
20260502_164533,exp_007_lgbm_rank_target_3d_top50,2026-05-02T16:45:33,lightgbm,2026-04-24,2026-04-01,24,-1,0.05,0.8,0.8,,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.03138,0.068982,0.043892,0.008317,0.1726,10,0.008557,0.017953,0.4766,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_007_lgbm_rank_target_3d_top50.csv,"LightGBM + rank target, top_k=50, actual_k=60, 10folds, bt 2025-10~2026-04"
20260502_165715,exp_008_ensemble_xgb_lgbm_rank_3d_top50,2026-05-02T16:57:15,ensemble,2026-04-24,2026-04-01,34,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.027626,0.07411,0.05463,0.009602,0.173,10,0.010932,0.019652,0.5563,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_008_ensemble_xgb_lgbm_rank_3d_top50.csv,"ensemble XGBoost+LightGBM, both rank target, equal weight"
20260502_170417,exp_008_ensemble_xgb_lgbm_rank_3d_top50,2026-05-02T17:04:17,ensemble,2026-04-24,2026-04-01,34,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.027626,0.07411,0.05463,0.009602,0.173,10,0.010932,0.002389,0.008542,0.016372,0.5218,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_008_ensemble_xgb_lgbm_rank_3d_top50.csv,same ensemble; bt_sharpe now based on excess return vs CSI500
20260502_175830,exp_008_ensemble_xgb_lgbm_rank_3d_top50,2026-05-02T17:58:30,ensemble,2026-04-24,2026-04-01,34,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.027626,0.07411,0.05463,0.009602,0.173,10,0.012597,0.014017,-0.00142,0.009837,-0.1443,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_008_ensemble_xgb_lgbm_rank_3d_top50.csv,April-only bt: out-of-sample window after final model train cutoff 2026-04-01
20260503_144211,exp_009_ensemble_timedecay_hl60,2026-05-03T14:42:11,ensemble,2026-04-24,2026-04-01,19,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.009497,0.06905,0.030766,0.008119,0.1978,10,0.006349,0.014017,-0.007668,0.016708,-0.4589,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_009_ensemble_timedecay_hl60.csv,ensemble + time-decay half_life=60; April bt for out-of-sample comparison
20260503_144400,exp_010_ensemble_timedecay_hl120,2026-05-03T14:44:00,ensemble,2026-04-24,2026-04-01,38,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.022293,0.067299,0.028608,0.007422,0.1788,10,0.008782,0.014017,-0.005234,0.018195,-0.2877,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_010_ensemble_timedecay_hl120.csv,ensemble + time-decay half_life=120; April bt

20260503_144856,exp_011_ensemble_rank_avg,2026-05-03T14:48:56,ensemble,2026-04-24,2026-04-01,34,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.024878,0.075147,0.057215,0.009725,0.1702,10,0.012806,0.014017,-0.00121,0.009415,-0.1286,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_011_ensemble_rank_avg.csv,ensemble with rank averaging instead of score averaging

20260503_145844,exp_012_ensemble_extended_features,2026-05-03T14:58:44,ensemble,2026-04-24,2026-04-01,32,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""ret_120d"", ""vol_5d"", ""vol_20d"", ""vol_ratio"", ""volume_z_20d"", ""turnover_ma_20d"", ""amihud_20d"", ""close_over_ma20"", ""close_over_ma60"", ""close_over_high52w"", ""rsi_14"", ""intraday_range_20d"", ""ret_1d_rank"", ""ret_5d_rank"", ""ret_20d_rank"", ""ret_60d_rank"", ""vol_20d_rank"", ""amihud_20d_rank""]",50,0.025598,0.062515,0.011318,0.000435,0.1842,10,0.006889,0.014017,-0.007127,0.012354,-0.5769,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_012_ensemble_extended_features.csv,"23 features: ret_120d, vol_5d, vol_ratio, amihud_20d, close_over_high120d, intraday_range_20d, ret_1d/60d/amihud ranks"
20260503_150304,exp_013_ensemble_pruned_features,2026-05-03T15:03:04,ensemble,2026-04-24,2026-04-01,25,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_5d"", ""vol_20d"", ""vol_ratio"", ""amihud_20d"", ""close_over_ma20"", ""close_over_high52w"", ""rsi_14"", ""intraday_range_20d"", ""ret_5d_rank"", ""ret_20d_rank"", ""ret_60d_rank"", ""vol_20d_rank""]",50,0.024709,0.067594,0.000554,-0.000368,0.1754,10,0.006538,0.014017,-0.007479,0.015017,-0.498,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_013_ensemble_pruned_features.csv,"16 features: removed 7 zero fold10-importance features (ret_5d, ret_120d, volume_z_20d, close_over_ma60, turnover_ma_20d, ret_1d_rank, amihud_20d_rank)"
20260503_151827,exp_014_ensemble_rolling180,2026-05-03T15:18:27,ensemble,2026-04-24,2026-04-01,23,5,0.05,0.8,0.8,10,1.0,"[""ret_1d"", ""ret_5d"", ""ret_10d"", ""ret_20d"", ""ret_60d"", ""vol_20d"", ""volume_z_20d"", ""turnover_ma_20d"", ""close_over_ma20"", ""close_over_ma60"", ""rsi_14"", ""ret_5d_rank"", ""ret_20d_rank"", ""vol_20d_rank""]",50,0.020097,0.077894,0.030621,-0.003052,0.1504,10,0.009416,0.014017,-0.0046,0.01543,-0.2981,C:\Users\Retina\Desktop\Stock predicting\outputs\submissions\exp_014_ensemble_rolling180.csv,rolling 180d window vs expanding (exp_011)
